121.482383,31.322831,逸仙HL10H
121.402027,31.284209,大场HL08H
121.401621,31.291283,第一批第三方
121.4011,31.312115,第一批第三方
121.364221,31.325668,第二批第三方
121.380617,31.326305,第一批第三方
121.434052,31.32061,第二批第三方
121.492172,31.351089,共规划共址订单
121.43696,31.327501,第二批第三方
121.410251,31.301421,环镇南局房HL06H
121.460443,31.332401,铁塔三季度交付
121.411657,31.294787,山海HL02H
121.445421,31.339209,铁塔三季度交付
121.467436,31.332039,铁塔三季度交付
121.395434,31.306706,共规划共址订单
121.486121,31.325427,铁塔三季度交付
121.375373,31.303702,铁塔三季度交付
121.384221,31.326444,共规划共址订单
121.463073,31.337517,铁塔三季度交付
121.398135,31.334462,第二批第三方
121.478149,31.356391,宝益德HL09H
121.454234,31.339945,共规划共址订单
121.389542,31.302687,第二批第三方
121.462058,31.336292,铁塔三季度交付
121.485002,31.369651,共规划共址订单
121.366281,31.323631,祁连山局房HL05H
121.475629,31.351361,第一批第三方
121.484949,31.355563,宝益德HL08H
121.487821,31.356828,第一批第三方
121.470487,31.333942,铁塔三季度交付
121.463626,31.346868,第一批第三方
121.48401,31.35731,宝益德HL07H
121.470102,31.360474,第一批第三方
121.369938,31.293253,第二批第三方
121.478986,31.359114,第一批第三方
121.388824,31.328057,锦秋花园一期HL03H
121.389398,31.331032,共规划共址订单
121.380789,31.3282,R19-2600-BS-H-CMD-GH-0041
121.371631,31.328259,共规划共址订单
121.383498,31.296459,第二批第三方
121.486119,31.360339,第一批第三方
121.405477,31.308517,第二批第三方
121.465448,31.351661,宝益德HL10H
121.486388,31.319439,第二批第三方
121.394811,31.326399,共规划共址订单
121.433391,31.315821,第二批第三方
121.37726,31.30862,第二批第三方
121.488607,31.318997,第二批第三方
121.393286,31.297874,铁塔三季度交付
121.477871,31.361545,第一批第三方
121.480307,31.351742,第一批第三方
121.38101,31.29851,第二批第三方
121.381941,31.307015,第二批第三方
121.473986,31.359054,第一批第三方
121.408891,31.319001,第一批第三方
121.47101,31.35151,第一批第三方
121.47101,31.35711,宝益德HL05H
121.412862,31.34085,第一批第三方
121.481699,31.355724,第一批第三方
121.482349,31.328774,铁塔三季度交付
121.479233,31.330173,第一批第三方
121.474011,31.362611,宝益德HL06H
121.366771,31.303461,第二批第三方
121.512244,31.344933,第二批第三方
121.489471,31.359281,宝金为HL04H
121.410039,31.313193,第一批第三方
121.37101,31.30291,第二批第三方
121.373328,31.330929,共规划共址订单
121.419551,31.315331,宝少矿HL03H
121.466234,31.353095,第一批第三方
121.453401,31.357434,铁塔三季度交付
121.370647,31.305581,共规划共址订单
121.492807,31.369252,第一批第三方
121.436121,31.328871,南蕴藻局房HL11H
121.479248,31.334398,共规划共址订单
121.402843,31.332127,共规划共址订单
121.465593,31.362075,宝吴科集HL04H
121.405871,31.330731,第一批第三方
121.408111,31.321501,第一批第三方
121.391891,31.323316,宝锦南HL1H
121.449667,31.346336,虎锦HL2H
121.371601,31.315141,新葑塘HL2H
121.490417,31.325856,宝国权HL2H
121.393888,31.333441,宝涵青HL2H
121.438451,31.331221,宝呼青HL02H
121.440551,31.339071,宝通河HL01H
121.485396,31.372546,宝房建HL1H
121.493461,31.353611,宝福尔HL1H
121.453531,31.349711,宝冷HL1H
121.399688,31.306064,宝南大HL1H
121.456471,31.361631,宝泰支HL1H
121.401211,31.296157,宝天河HL1H
121.476495,31.341527,宝长江HL1H
121.412326,31.301267,宝支兴HL1H
121.423652,31.350957,联富HL1H
121.392201,31.306012,南陈HL1H
121.396681,31.309711,乾商HL1H
121.403416,31.284925,方洲HL1H
121.406187,31.278352,联通真华HL1H
121.401201,31.285441,宝真金HL1H
121.402981,31.327531,秋沪HL1H
121.461653,31.329929,瑞锦HL1H
121.475261,31.323251,宝殷华HL1H
121.469961,31.327071,宝新金HL1H
121.426501,31.356351,爱尔HL1H
121.495861,31.376931,淞滨HL1H
121.486231,31.348301,宝本山HL1H
